,geometry,value
140,"LINESTRING (-122.2878587 37.8048441, -122.2878352 37.8049084, -122.2876717 37.8053569, -122.287482 37.8058775, -122.2874532 37.8059579, -122.2874011 37.8061029, -122.2872893 37.8064132, -122.2872473 37.8065295, -122.287235 37.8065638, -122.2872111 37.8066302)",1
141,"LINESTRING (-122.2878587 37.8048441, -122.28788 37.8047819, -122.2879112 37.804691, -122.2879792 37.8045037, -122.2880682 37.8042585, -122.2881505 37.8040315, -122.2881861 37.8039333)",1
142,"LINESTRING (-122.2866762 37.8081074, -122.2867934 37.808134, -122.2877639 37.8083538)",1
143,"LINESTRING (-122.2866762 37.8081074, -122.2865562 37.8080802, -122.2862121 37.8080021, -122.2855594 37.807854)",1
144,"LINESTRING (-122.2866762 37.8081074, -122.2866449 37.808194, -122.286328 37.8090686, -122.2862323 37.8093326, -122.2862011 37.8094187, -122.2861727 37.8094971)",1
145,"LINESTRING (-122.2866762 37.8081074, -122.2867074 37.8080214, -122.2868512 37.8076242, -122.2871864 37.8066986, -122.2872111 37.8066302)",1
146,"LINESTRING (-122.2838651 37.7982587, -122.2834901 37.7988583)",1
147,"LINESTRING (-122.2851774 37.802662, -122.2850218 37.8030964)",1
148,"LINESTRING (-122.2849708 37.8032363, -122.2850218 37.8030964)",1
149,"LINESTRING (-122.2849708 37.8032363, -122.2848634 37.8035248, -122.2847826 37.8037419, -122.2846462 37.8041084)",1
150,"LINESTRING (-122.2849708 37.8032363, -122.2852564 37.8032996, -122.2855551 37.8033657, -122.286013 37.8034654)",1
151,"LINESTRING (-122.2846462 37.8041084, -122.2845082 37.8044955, -122.2844469 37.8046674, -122.2842693 37.8051656, -122.2842085 37.805336, -122.2840075 37.8058999)",1
152,"LINESTRING (-122.2846462 37.8041084, -122.2847826 37.8037419, -122.2848634 37.8035248, -122.2849708 37.8032363)",1
153,"LINESTRING (-122.2846462 37.8041084, -122.2854248 37.8042874, -122.2855601 37.8043185, -122.2866586 37.804569, -122.2867515 37.804591, -122.2877658 37.8048229, -122.2878587 37.8048441)",1
154,"LINESTRING (-122.2846462 37.8041084, -122.2842855 37.8040266, -122.2839752 37.8039563, -122.2837236 37.8039042)",1
155,"LINESTRING (-122.2834764 37.807377, -122.2836077 37.8070114, -122.2838173 37.8064288, -122.2840075 37.8058999)",1
156,"LINESTRING (-122.2834764 37.807377, -122.2838579 37.8074646, -122.2841964 37.8075423, -122.284501 37.8076122)",1
157,"LINESTRING (-122.2834764 37.807377, -122.2829177 37.8072466, -122.2826768 37.8071904, -122.2826037 37.8071711, -122.2825415 37.8071507, -122.2824697 37.8071194, -122.281611 37.8067233, -122.281513 37.8066773)",1
158,"LINESTRING (-122.2811509 37.8138019, -122.2801103 37.8136063)",1
159,"LINESTRING (-122.2811509 37.8138019, -122.2814112 37.8138517, -122.2816623 37.8138998, -122.2821916 37.8140011)",1
160,"LINESTRING (-122.2811509 37.8138019, -122.2809752 37.8142839, -122.280795 37.8147783)",1
161,"LINESTRING (-122.2811509 37.8138019, -122.2815272 37.8127716, -122.2819492 37.8116164)",1
162,"LINESTRING (-122.280795 37.8147783, -122.2807575 37.8148843)",1
163,"LINESTRING (-122.280795 37.8147783, -122.2809752 37.8142839, -122.2811509 37.8138019)",1
164,"LINESTRING (-122.280795 37.8147783, -122.2805406 37.8147227, -122.2802912 37.8146803, -122.2800149 37.8146485, -122.28 37.81464745983187)",1
165,"LINESTRING (-122.28 37.81808549634192, -122.2801795 37.8181252, -122.280676 37.8182351)",1
166,"LINESTRING (-122.28 37.8170338, -122.28009 37.8167818, -122.2802046 37.8164608)",1
167,"LINESTRING (-122.28 37.81975959500112, -122.2801146 37.8197854)",1
168,"LINESTRING (-122.2803466 37.7968434, -122.28 37.7973989123068)",1
169,"LINESTRING (-122.28 37.79670512174059, -122.2803466 37.7968434)",1
170,"LINESTRING (-122.3050276 37.8183879, -122.3068398 37.818568, -122.3072547 37.8186128)",1
171,"LINESTRING (-122.3050276 37.8183879, -122.3054135 37.8180217, -122.3057286 37.8177205, -122.3058626 37.8175925, -122.3060156 37.8174451, -122.3070081 37.8164885, -122.3071115 37.8163888, -122.3072374 37.8162717, -122.3073757 37.8161431, -122.3075739 37.8159588, -122.3077699 37.8157726, -122.3079499 37.8156016, -122.3081183 37.8154321, -122.3082367 37.8153128)",1
172,"LINESTRING (-122.3050276 37.8183879, -122.3044696 37.818915, -122.3044207 37.8189614, -122.3043654 37.8190138, -122.3038338 37.8195176, -122.3034603 37.8198714, -122.3031317 37.8201826, -122.3028421 37.820457, -122.3023754 37.8208994, -122.3023326 37.8209417, -122.3022387 37.8210304)",1
173,"LINESTRING (-122.31 37.80862847873125, -122.3090249 37.8084037, -122.3083434 37.8082627, -122.3076623 37.8081127, -122.3074473 37.8080784, -122.3072241 37.8080513, -122.3069924 37.8080377, -122.3062281 37.8080281)",1
174,"LINESTRING (-122.307552 37.7977192, -122.3068257 37.7975467, -122.306464 37.7974575, -122.3059278 37.7973252, -122.3056455 37.7972612, -122.3055636 37.7972569, -122.3054747 37.7972654, -122.3053999 37.7972977, -122.3053448 37.7973343, -122.3051882 37.7974538, -122.304907 37.7976802)",1
175,"LINESTRING (-122.2985522 37.8020638, -122.2979857 37.8019348, -122.2974095 37.8018476, -122.2968636 37.8017816, -122.2961817 37.8017549, -122.2959077 37.8017432, -122.2953715 37.8017454, -122.295082 37.8017583, -122.2937571 37.801848, -122.2934013 37.8018835, -122.2930938 37.8019364, -122.2927971 37.8020181, -122.2924862 37.8021273, -122.2922052 37.8022601, -122.291929 37.8024081, -122.2917198 37.8025734, -122.2915374 37.802743, -122.2914071 37.8028848, -122.2910197 37.803294, -122.290882 37.8034167)",1
176,"LINESTRING (-122.2985522 37.8020638, -122.2980775 37.8019748, -122.2976108 37.8019112, -122.2972272 37.8018752, -122.2967793 37.8018455, -122.2962902 37.8018359, -122.2958155 37.8018529, -122.2953434 37.8018889, -122.2948821 37.801944, -122.290969 37.8025873, -122.290505 37.8026572, -122.2900234 37.8027167, -122.2895272 37.8027527, -122.2890337 37.8027718, -122.2885428 37.802776, -122.288052 37.8027612, -122.2875746 37.8027294, -122.2870757 37.802687, -122.286558 37.8026213, -122.2860779 37.8025366, -122.2856058 37.8024391, -122.2851391 37.8023268, -122.2846724 37.802189, -122.2842138 37.8020407, -122.2837605 37.801869, -122.28 37.80039391101527)",1
177,"LINESTRING (-122.2888654 37.8066186, -122.2887317 37.8069758)",1
178,"LINESTRING (-122.2849911 37.8226026, -122.2848689 37.8227552)",1
179,"LINESTRING (-122.2849911 37.8226026, -122.2852708 37.8222531)",1
180,"LINESTRING (-122.2849911 37.8226026, -122.2849813 37.822496, -122.284973 37.822376, -122.2850078 37.8221091)",1
181,"LINESTRING (-122.2847335 37.8227253, -122.2838259 37.8225165)",1
182,"LINESTRING (-122.2847335 37.8227253, -122.2846887 37.8229804)",1
183,"LINESTRING (-122.2847335 37.8227253, -122.2847797 37.8227359, -122.2848689 37.8227552)",1
184,"LINESTRING (-122.3065306 37.7994678, -122.3063423 37.7993691, -122.306162 37.7992403, -122.3059732 37.7990233, -122.3058834 37.7988919, -122.3056876 37.7986055, -122.3055685 37.7984405, -122.3053539 37.7981489, -122.3050634 37.7978161, -122.304907 37.7976802)",1
185,"LINESTRING (-122.3065306 37.7994678, -122.3069789 37.799614, -122.3073529 37.799736, -122.31 37.8005992309624)",1
186,"LINESTRING (-122.3065306 37.7994678, -122.3064311 37.7996668, -122.3063773 37.7997634, -122.3063613 37.7998198, -122.3063547 37.7999021, -122.3063589 37.7999828, -122.306383 37.8000675, -122.3064259 37.8001523, -122.3064731 37.8002256, -122.3065037 37.8002731, -122.3068853 37.8007925, -122.307016 37.8009704, -122.3078207 37.8022144, -122.3078377 37.8022389, -122.3079354 37.8023793, -122.3082652 37.8028535, -122.3084676 37.8031522, -122.3087729 37.8036025, -122.3090867 37.8040815, -122.3091993 37.8042362, -122.3093308 37.8043803, -122.3094944 37.8045223, -122.309658 37.8046473, -122.3098323 37.8047618, -122.31 37.80484706248086)",1
187,"LINESTRING (-122.2980719 37.8151645, -122.29865 37.814745)",1
